=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.12.02 16:03:09 =~=~=~=~=~=~=~=~=~=~=~=
Waiting for GPS Fix
GPS Fix obtained at;15:03:09.000:000:000:;Date:2/12/2021
Coincidence;15:03:00.201:621:808:;
Coincidence;15:03:12.034:102:480:;
Coincidence;15:03:12.191:642:320:;
Coincidence;15:03:12.789:867:712:;
Coincidence;15:03:13.312:909:888:;
Coincidence;15:03:13.365:395:520:;
Coincidence;15:03:13.391:181:408:;
Coincidence;15:03:13.784:653:824:;
Coincidence;15:03:14.090:112:616:;
Coincidence;15:03:14.239:755:568:;
Coincidence;15:03:14.980:623:616:;
Coincidence;15:03:15.454:723:584:;
Coincidence;15:03:16.358:807:552:;
Coincidence;15:03:16.972:514:176:;
Coincidence;15:03:17.287:910:144:;
Coincidence;15:03:17.620:332:864:;
Coincidence;15:03:17.681:479:552:;
Coincidence;15:03:17.818:709:888:;
Coincidence;15:03:18.267:631:376:;
Coincidence;15:03:18.453:415:872:;
Coincidence;15:03:19.167:813:952:;
Coincidence;15:03:19.337:684:608:;
Coincidence;15:03:20.121:392:704:;
Coincidence;15:03:20.252:735:088:;
Coincidence;15:03:20.590:780:928:;
Coincidence;15:03:20.661:827:072:;
Coincidence;15:03:20.907:931:584:;
Coincidence;15:03:22.643:992:320:;
Coincidence;15:03:22.881:333:888:;
Coincidence;15:03:23.288:273:024:;
Coincidence;15:03:23.391:137:344:;
Coincidence;15:03:23.551:217:280:;
Coincidence;15:03:24.698:623:808:;
Coincidence;15:03:25.262:236:528:;
Coincidence;15:03:25.290:386:656:;
Coincidence;15:03:25.329:295:296:;
Coincidence;15:03:26.603:107:904:;
Coincidence;15:03:26.732:982:912:;
Coincidence;15:03:27.160:937:616:;
Coincidence;15:03:27.599:868:672:;
Coincidence;15:03:27.799:711:360:;
Coincidence;15:03:28.199:061:616:;
Coincidence;15:03:28.303:954:016:;
Coincidence;15:03:28.897:451:968:;
Coincidence;15:03:28.910:934:912:;
Coincidence;15:03:29.208:010:688:;
Coincidence;15:03:29.418:913:888:;
Coincidence;15:03:29.949:012:672:;
Coincidence;15:03:32.177:336:576:;
Coincidence;15:03:32.421:604:288:;
Coincidence;15:03:32.911:479:488:;
Coincidence;15:03:33.182:245:632:;
Coincidence;15:03:33.713:385:664:;
Coincidence;15:03:33.870:875:968:;
Coincidence;15:03:34.753:421:696:;
Coincidence;15:03:35.371:380:384:;
Coincidence;15:03:35.460:963:616:;
Coincidence;15:03:35.980:502:400:;
Coincidence;15:03:36.210:055:568:;
Coincidence;15:03:36.308:751:360:;
Coincidence;15:03:36.942:453:568:;
Coincidence;15:03:37.749:597:440:;
Coincidence;15:03:37.969:248:832:;
Coincidence;15:03:38.543:037:056:;
Coincidence;15:03:39.360:047:104:;
Coincidence;15:03:40.290:447:680:;
Coincidence;15:03:40.398:488:480:;
Coincidence;15:03:40.526:920:384:;
Coincidence;15:03:40.578:501:056:;
Coincidence;15:03:41.042:145:784:;
Coincidence;15:03:41.452:877:536:;
Coincidence;15:03:42.362:830:624:;
Coincidence;15:03:43.042:433:736:;
Coincidence;15:03:43.047:327:728:;
Coincidence;15:03:43.381:948:384:;
Coincidence;15:03:43.822:673:152:;
Coincidence;15:03:44.663:303:424:;
Coincidence;15:03:45.089:768:520:;
Coincidence;15:03:45.167:532:480:;
Coincidence;15:03:45.431:922:016:;
Coincidence;15:03:46.261:564:368:;
Coincidence;15:03:46.750:098:304:;
Coincidence;15:03:47.415:929:568:;
Coincidence;15:03:47.925:849:408:;
Coincidence;15:03:48.140:353:296:;
Coincidence;15:03:49.321:690:624:;
Coincidence;15:03:49.340:867:616:;
Coincidence;15:03:49.567:788:736:;
Coincidence;15:03:49.921:583:424:;
Coincidence;15:03:50.397:275:488:;
Coincidence;15:03:50.888:558:592:;
Coincidence;15:03:51.410:757:728:;
Coincidence;15:03:51.456:388:192:;
Coincidence;15:03:51.689:314:752:;
Coincidence;15:03:51.840:060:480:;
Coincidence;15:03:51.926:193:856:;
Coincidence;15:03:52.759:316:032:;
Coincidence;15:03:53.026:428:742:;
Coincidence;15:03:53.409:906:080:;
Coincidence;15:03:53.553:065:728:;
Coincidence;15:03:53.979:361:280:;
Coincidence;15:03:54.098:415:312:;
Coincidence;15:03:54.197:820:048:;
Coincidence;15:03:55.233:857:216:;
Coincidence;15:03:55.815:890:688:;
Coincidence;15:03:55.868:749:824:;
Coincidence;15:03:56.033:477:592:;
Coincidence;15:03:56.106:390:688:;
Coincidence;15:03:56.235:994:064:;
Coincidence;15:03:56.794:727:744:;
Coincidence;15:03:58.336:557:184:;
Coincidence;15:03:58.612:851:328:;
Coincidence;15:03:58.866:916:736:;
Coincidence;15:03:59.220:295:568:;
Coincidence;15:03:59.329:213:120:;
Coincidence;15:04:00.411:223:520:;
Coincidence;15:04:00.422:696:480:;
Coincidence;15:04:00.868:600:384:;
Coincidence;15:04:00.883:903:488:;
Coincidence;15:04:00.986:926:976:;
Coincidence;15:04:01.016:077:590:;
Coincidence;15:04:02.021:364:988:;
Coincidence;15:04:02.223:912:496:;
Coincidence;15:04:02.722:569:856:;
Coincidence;15:04:02.949:376:512:;
Coincidence;15:04:03.112:513:368:;
Coincidence;15:04:03.280:993:152:;
Coincidence;15:04:03.591:949:632:;
Coincidence;15:04:03.773:182:272:;
Coincidence;15:04:04.383:842:496:;
Coincidence;15:04:04.606:199:616:;
Coincidence;15:04:04.708:227:264:;
Coincidence;15:04:04.738:800:832:;
Coincidence;15:04:05.009:088:077:;
Coincidence;15:04:05.238:819:424:;
Coincidence;15:04:06.019:212:594:;
Coincidence;15:04:06.160:590:128:;
Coincidence;15:04:06.251:877:376:;
Coincidence;15:04:06.496:611:520:;
Coincidence;15:04:06.621:814:912:;
Coincidence;15:04:06.663:097:664:;
Coincidence;15:04:06.869:551:872:;
Coincidence;15:04:07.768:459:840:;
Coincidence;15:04:09.278:892:384:;
Coincidence;15:04:09.355:143:328:;
Coincidence;15:04:12.223:811:104:;
Coincidence;15:04:12.449:744:832:;
Coincidence;15:04:12.900:501:888:;
Coincidence;15:04:13.090:581:888:;
Coincidence;15:04:13.233:341:472:;
Coincidence;15:04:13.850:074:176:;
Coincidence;15:04:14.686:926:336:;
Coincidence;15:04:14.789:076:608:;
Coincidence;15:04:14.870:948:608:;
Coincidence;15:04:14.962:934:016:;
Coincidence;15:04:17.013:997:168:;
Coincidence;15:04:17.698:556:416:;
Coincidence;15:04:18.265:397:056:;
Coincidence;15:04:18.471:493:440:;
Coincidence;15:04:18.694:454:848:;
Coincidence;15:04:18.713:350:208:;
Coincidence;15:04:18.755:199:616:;
Coincidence;15:04:19.156:139:312:;
Coincidence;15:04:19.304:141:760:;
Coincidence;15:04:19.969:945:792:;
Coincidence;15:04:20.062:090:072:;
Coincidence;15:04:20.444:475:328:;
Coincidence;15:04:20.934:801:600:;
Coincidence;15:04:20.993:638:464:;
Coincidence;15:04:21.878:303:552:;
Coincidence;15:04:22.309:260:576:;
Coincidence;15:04:22.519:810:528:;
Coincidence;15:04:22.596:773:952:;
Coincidence;15:04:22.697:316:224:;
Coincidence;15:04:22.810:901:760:;
Coincidence;15:04:23.058:881:232:;
