GPS Fix obtained at;12:02:47.000:000:000:;Date:7/2/2022
Coincidence;12:02:48.033:112:754:;
Coincidence;12:02:48.167:429:808:;
Coincidence;12:02:48.191:668:272:;
Coincidence;12:02:48.272:314:112:;
Coincidence;12:02:48.413:380:160:;
Coincidence;12:02:48.419:260:224:;
Coincidence;12:02:48.564:334:848:;
Coincidence;12:02:48.579:489:536:;
Coincidence;12:02:48.627:254:784:;
Coincidence;12:02:48.703:204:608:;
Coincidence;12:02:48.722:738:240:;
Coincidence;12:02:48.878:925:504:;
Coincidence;12:02:48.899:945:344:;
Coincidence;12:02:48.923:269:696:;
Coincidence;12:02:49.051:328:512:;
Coincidence;12:02:49.106:778:752:;
Coincidence;12:02:49.116:166:400:;
Coincidence;12:02:49.177:631:360:;
Coincidence;12:02:49.230:749:440:;
Coincidence;12:02:49.258:301:056:;
Coincidence;12:02:49.441:356:416:;
Coincidence;12:02:49.516:403:328:;
Coincidence;12:02:49.531:889:536:;
Coincidence;12:02:49.035:360:024:;
Coincidence;12:02:49.047:243:816:;
Coincidence;12:02:49.124:468:016:;
Coincidence;12:02:49.142:153:648:;
Coincidence;12:02:49.182:214:352:;
Coincidence;12:02:49.221:185:136:;
Coincidence;12:02:49.231:077:824:;
Coincidence;12:02:49.290:727:232:;
Coincidence;12:02:49.374:272:864:;
Coincidence;12:02:49.397:016:768:;
Coincidence;12:02:49.452:020:672:;
Coincidence;12:02:49.471:155:296:;
Coincidence;12:02:49.540:562:944:;
Coincidence;12:02:49.549:606:848:;
Coincidence;12:02:49.621:367:936:;
Coincidence;12:02:49.654:462:784:;
Coincidence;12:02:49.676:127:040:;
Coincidence;12:02:49.686:137:984:;
Coincidence;12:02:49.701:527:744:;
Coincidence;12:02:49.718:550:848:;
Coincidence;12:02:49.736:368:512:;
Coincidence;12:02:49.934:030:976:;
Coincidence;12:02:49.996:547:712:;
Coincidence;12:02:50.028:788:268:;
Coincidence;12:02:50.047:856:872:;
Coincidence;12:02:50.055:482:548:;
Coincidence;12:02:50.123:962:408:;
Coincidence;12:02:50.172:038:368:;
Coincidence;12:02:50.180:010:400:;
Coincidence;12:02:50.184:601:552:;
Coincidence;12:02:50.328:589:120:;
Coincidence;12:02:50.360:216:128:;
Coincidence;12:02:50.365:936:608:;
Coincidence;12:02:50.439:941:504:;
Coincidence;12:02:50.652:504:448:;
Coincidence;12:02:50.665:148:608:;
Coincidence;12:02:50.798:501:120:;
Coincidence;12:02:50.805:905:856:;
Coincidence;12:02:50.821:705:856:;
Coincidence;12:02:50.878:649:344:;
Coincidence;12:02:50.889:996:672:;
Coincidence;12:02:50.959:195:200:;
Coincidence;12:02:50.986:610:688:;
Coincidence;12:02:51.009:870:962:;
Coincidence;12:02:51.044:763:316:;
Coincidence;12:02:51.123:937:568:;
Coincidence;12:02:51.144:916:720:;
Coincidence;12:02:51.165:358:128:;
Coincidence;12:02:51.200:750:752:;
Coincidence;12:02:51.221:675:392:;
Coincidence;12:02:51.245:565:424:;
Coincidence;12:02:51.294:125:376:;
Coincidence;12:02:51.308:100:640:;
Coincidence;12:02:51.341:199:904:;
Coincidence;12:02:51.363:540:864:;
Coincidence;12:02:51.444:104:320:;
Coincidence;12:02:51.482:084:544:;
Coincidence;12:02:51.525:834:880:;
Coincidence;12:02:51.529:596:928:;
Coincidence;12:02:51.539:381:568:;
Coincidence;12:02:51.546:998:336:;
Coincidence;12:02:51.568:427:328:;
Coincidence;12:02:51.574:120:576:;
Coincidence;12:02:51.634:907:392:;
Coincidence;12:02:51.664:815:680:;
Coincidence;12:02:51.684:656:256:;
Coincidence;12:02:51.716:873:408:;
Coincidence;12:02:51.741:751:168:;
Coincidence;12:02:51.805:749:760:;
Coincidence;12:02:51.859:676:672:;
Coincidence;12:02:51.878:080:768:;
Coincidence;12:02:51.892:376:768:;
Coincidence;12:02:51.908:212:992:;
Coincidence;12:02:51.922:031:488:;
Coincidence;12:02:51.982:737:600:;
Coincidence;12:02:52.005:887:587:;
Coincidence;12:02:52.068:839:080:;
Coincidence;12:02:52.145:654:768:;
Coincidence;12:02:52.243:065:952:;
Coincidence;12:02:52.269:723:840:;
Coincidence;12:02:52.331:307:680:;
Coincidence;12:02:52.350:194:784:;
Coincidence;12:02:52.386:040:768:;
Coincidence;12:02:52.400:902:272:;
Coincidence;12:02:52.412:886:528:;
Coincidence;12:02:52.540:558:080:;
Coincidence;12:02:52.577:289:984:;
Coincidence;12:02:52.660:482:368:;
Coincidence;12:02:52.768:180:224:;
Coincidence;12:02:52.867:604:800:;
Coincidence;12:02:52.886:044:736:;
Coincidence;12:02:52.939:577:984:;
Coincidence;12:02:53.071:371:656:;
Coincidence;12:02:53.113:678:168:;
Coincidence;12:02:53.117:900:160:;
Coincidence;12:02:53.122:737:840:;
Coincidence;12:02:53.134:697:328:;
Coincidence;12:02:53.162:092:992:;
Coincidence;12:02:53.193:134:976:;
Coincidence;12:02:53.201:868:336:;
Coincidence;12:02:53.279:534:464:;
Coincidence;12:02:53.323:555:744:;
Coincidence;12:02:53.338:740:704:;
Coincidence;12:02:53.420:706:592:;
Coincidence;12:02:53.456:034:976:;
Coincidence;12:02:53.473:062:784:;
Coincidence;12:02:53.489:295:328:;
Coincidence;12:02:53.530:918:112:;
Coincidence;12:02:53.608:816:704:;
Coincidence;12:02:53.614:865:152:;
Coincidence;12:02:53.640:536:256:;
Coincidence;12:02:53.657:870:272:;
Coincidence;12:02:53.711:697:536:;
Coincidence;12:02:53.732:688:704:;
Coincidence;12:02:53.742:070:912:;
Coincidence;12:02:53.765:093:952:;
Coincidence;12:02:53.774:306:752:;
Coincidence;12:02:53.806:822:144:;
Coincidence;12:02:54.009:914:834:;
Coincidence;12:02:54.014:825:169:;
