Waiting for GPS Fix
GPS Fix obtained at;12:59:48.000:000:000:;Date:7/2/2022
Coincidence;12:59:49.036:268:212:;
Coincidence;12:59:49.045:114:120:;
Coincidence;12:59:49.054:290:048:;
Coincidence;12:59:49.087:599:808:;
Coincidence;12:59:49.171:934:176:;
Coincidence;12:59:49.177:963:600:;
Coincidence;12:59:49.224:587:968:;
Coincidence;12:59:49.229:651:984:;
Coincidence;12:59:49.290:891:040:;
Coincidence;12:59:49.308:820:224:;
Coincidence;12:59:49.312:588:960:;
Coincidence;12:59:49.399:036:192:;
Coincidence;12:59:49.507:234:400:;
Coincidence;12:59:49.524:050:112:;
Coincidence;12:59:49.547:563:072:;
Coincidence;12:59:49.552:945:472:;
Coincidence;12:59:49.656:130:432:;
Coincidence;12:59:49.683:289:216:;
Coincidence;12:59:49.712:071:360:;
Coincidence;12:59:49.725:857:728:;
Coincidence;12:59:49.788:381:952:;
Coincidence;12:59:49.833:706:304:;
Coincidence;12:59:49.846:135:808:;
Coincidence;12:59:49.885:351:936:;
Coincidence;12:59:49.973:590:336:;
Coincidence;12:59:50.035:230:680:;
Coincidence;12:59:50.209:740:560:;
Coincidence;12:59:50.249:273:840:;
Coincidence;12:59:50.267:944:928:;
Coincidence;12:59:50.292:696:320:;
Coincidence;12:59:50.319:782:080:;
Coincidence;12:59:50.335:960:672:;
Coincidence;12:59:50.411:339:040:;
Coincidence;12:59:50.446:982:112:;
Coincidence;12:59:50.463:475:520:;
Coincidence;12:59:50.555:846:464:;
Coincidence;12:59:50.589:629:632:;
Coincidence;12:59:50.595:632:256:;
Coincidence;12:59:50.731:035:072:;
Coincidence;12:59:50.743:264:448:;
Coincidence;12:59:50.820:206:528:;
Coincidence;12:59:50.818:599:168:;
Coincidence;12:59:50.935:455:552:;
Coincidence;12:59:50.938:473:024:;
Coincidence;12:59:51.036:108:548:;
Coincidence;12:59:51.196:028:224:;
Coincidence;12:59:51.199:500:816:;
Coincidence;12:59:51.218:181:712:;
Coincidence;12:59:51.365:248:960:;
Coincidence;12:59:51.382:685:440:;
Coincidence;12:59:51.471:847:296:;
Coincidence;12:59:51.469:010:976:;
Coincidence;12:59:51.497:073:184:;
Coincidence;12:59:51.509:083:392:;
Coincidence;12:59:51.553:169:024:;
