Waiting for GPS Fix
GPS Fix obtained at;12:59:35.000:000:000:;Date:7/2/2022
Coincidence;12:59:36.010:218:640:;
Coincidence;12:59:36.111:804:896:;
Coincidence;12:59:36.113:114:632:;
Coincidence;12:59:36.167:347:536:;
Coincidence;12:59:36.229:677:360:;
Coincidence;12:59:36.321:200:768:;
Coincidence;12:59:36.325:698:784:;
Coincidence;12:59:36.332:037:344:;
Coincidence;12:59:36.360:007:168:;
Coincidence;12:59:36.382:668:128:;
Coincidence;12:59:36.449:453:792:;
Coincidence;12:59:36.551:828:544:;
Coincidence;12:59:36.576:396:608:;
Coincidence;12:59:36.586:116:544:;
Coincidence;12:59:36.673:403:072:;
Coincidence;12:59:36.679:420:736:;
Coincidence;12:59:36.807:264:768:;
Coincidence;12:59:36.833:376:000:;
Coincidence;12:59:37.036:318:328:;
Coincidence;12:59:37.062:058:196:;
Coincidence;12:59:37.098:549:592:;
Coincidence;12:59:37.112:371:384:;
Coincidence;12:59:37.147:961:200:;
Coincidence;12:59:37.169:356:224:;
Coincidence;12:59:37.178:720:544:;
Coincidence;12:59:37.187:379:760:;
Coincidence;12:59:37.297:754:592:;
Coincidence;12:59:37.334:217:504:;
Coincidence;12:59:37.436:578:848:;
Coincidence;12:59:37.447:197:984:;
Coincidence;12:59:37.452:504:864:;
Coincidence;12:59:37.488:416:928:;
Coincidence;12:59:37.511:184:416:;
Coincidence;12:59:37.516:782:080:;
Coincidence;12:59:37.542:239:424:;
Coincidence;12:59:37.573:605:120:;
Coincidence;12:59:37.708:305:792:;
Coincidence;12:59:37.754:222:720:;
Coincidence;12:59:37.844:028:992:;
Coincidence;12:59:37.865:577:728:;
Coincidence;12:59:37.880:061:824:;
Coincidence;12:59:38.056:409:040:;
Coincidence;12:59:38.076:920:560:;
Coincidence;12:59:38.111:271:048:;
Coincidence;12:59:38.143:842:304:;
Coincidence;12:59:38.202:845:792:;
Coincidence;12:59:38.386:770:080:;
Coincidence;12:59:38.460:671:968:;
Coincidence;12:59:38.474:927:616:;
Coincidence;12:59:38.595:711:616:;
Coincidence;12:59:38.611:084:544:;
Coincidence;12:59:38.674:883:520:;
Coincidence;12:59:38.728:442:624:;
Coincidence;12:59:38.740:513:984:;
Coincidence;12:59:38.778:947:776:;
Coincidence;12:59:38.789:970:880:;
Coincidence;12:59:39.060:682:108:;
Coincidence;12:59:39.119:896:680:;
Coincidence;12:59:39.199:681:008:;
Coincidence;12:59:39.276:014:016:;
Coincidence;12:59:39.278:227:168:;
Coincidence;12:59:39.303:371:456:;
Coincidence;12:59:39.395:987:328:;
Coincidence;12:59:39.432:049:056:;
Coincidence;12:59:39.444:312:928:;
Coincidence;12:59:39.521:855:040:;
Coincidence;12:59:39.543:468:608:;
Coincidence;12:59:39.558:577:792:;
Coincidence;12:59:39.579:082:048:;
Coincidence;12:59:39.650:733:632:;
Coincidence;12:59:39.716:726:848:;
Coincidence;12:59:39.731:726:336:;
Coincidence;12:59:39.755:564:544:;
Coincidence;12:59:39.820:984:384:;
Coincidence;12:59:39.829:812:032:;
Coincidence;12:59:39.874:854:784:;
Coincidence;12:59:39.957:430:464:;
Coincidence;12:59:40.005:937:252:;
Coincidence;12:59:40.034:561:356:;
Coincidence;12:59:40.045:076:200:;
Coincidence;12:59:40.227:208:256:;
Coincidence;12:59:40.238:724:208:;
Coincidence;12:59:40.327:337:184:;
Coincidence;12:59:40.380:264:864:;
Coincidence;12:59:40.450:120:032:;
Coincidence;12:59:40.454:360:864:;
Coincidence;12:59:40.596:889:664:;
Coincidence;12:59:40.619:335:680:;
Coincidence;12:59:40.626:846:592:;
Coincidence;12:59:40.655:819:904:;
Coincidence;12:59:40.663:364:032:;
Coincidence;12:59:40.719:553:472:;
Coincidence;12:59:40.840:614:784:;
Coincidence;12:59:40.883:322:688:;
Coincidence;12:59:40.907:435:776:;
Coincidence;12:59:40.910:254:336:;
Coincidence;12:59:41.064:991:348:;
Coincidence;12:59:41.080:777:120:;
Coincidence;12:59:41.096:820:416:;
Coincidence;12:59:41.183:582:224:;
Coincidence;12:59:41.185:532:608:;
Coincidence;12:59:41.209:757:216:;
Coincidence;12:59:41.266:425:440:;
Coincidence;12:59:41.326:099:232:;
Coincidence;12:59:41.337:191:360:;
Coincidence;12:59:41.379:741:568:;
Coincidence;12:59:41.394:950:560:;
Coincidence;12:59:41.413:281:120:;
Coincidence;12:59:41.418:529:504:;
Coincidence;12:59:41.494:798:112:;
Coincidence;12:59:41.515:022:304:;
Coincidence;12:59:41.549:866:688:;
Coincidence;12:59:41.599:437:056:;
Coincidence;12:59:41.616:259:840:;
Coincidence;12:59:41.763:410:048:;
Coincidence;12:59:41.769:093:248:;
Coincidence;12:59:41.779:997:504:;
Coincidence;12:59:41.782:899:072:;
Coincidence;12:59:41.829:023:616:;
Coincidence;12:59:41.854:367:488:;
Coincidence;12:59:41.928:378:368:;
Coincidence;12:59:41.931:176:320:;
Coincidence;12:59:41.945:467:200:;
Coincidence;12:59:42.069:292:480:;
Coincidence;12:59:42.089:583:176:;
Coincidence;12:59:42.139:687:712:;
Coincidence;12:59:42.143:552:272:;
Coincidence;12:59:42.183:500:128:;
Coincidence;12:59:42.235:632:224:;
Coincidence;12:59:42.391:368:512:;
Coincidence;12:59:42.401:758:912:;
Coincidence;12:59:42.428:692:000:;
Coincidence;12:59:42.453:064:960:;
Coincidence;12:59:42.483:866:272:;
Coincidence;12:59:42.570:176:512:;
Coincidence;12:59:42.612:935:296:;
Coincidence;12:59:42.629:872:128:;
Coincidence;12:59:42.649:265:856:;
Coincidence;12:59:42.665:605:824:;
Coincidence;12:59:42.729:240:320:;
Coincidence;12:59:42.790:389:824:;
Coincidence;12:59:42.809:935:680:;
Coincidence;12:59:42.847:682:432:;
Coincidence;12:59:42.862:784:320:;
Coincidence;12:59:42.916:505:856:;
Coincidence;12:59:43.011:120:179:;
Coincidence;12:59:43.024:799:700:;
Coincidence;12:59:43.044:248:224:;
Coincidence;12:59:43.147:067:728:;
Coincidence;12:59:43.149:160:960:;
Coincidence;12:59:43.226:823:920:;
Coincidence;12:59:43.298:903:968:;
Coincidence;12:59:43.315:766:400:;
Coincidence;12:59:43.337:721:088:;
Coincidence;12:59:43.374:971:424:;
Coincidence;12:59:43.454:020:192:;
Coincidence;12:59:43.473:139:776:;
Coincidence;12:59:43.510:296:576:;
Coincidence;12:59:43.513:737:216:;
Coincidence;12:59:43.545:122:880:;
Coincidence;12:59:43.555:148:864:;
Coincidence;12:59:43.594:420:672:;
Coincidence;12:59:43.623:348:480:;
Coincidence;12:59:43.702:565:248:;
Coincidence;12:59:43.787:442:688:;
Coincidence;12:59:43.802:731:008:;
Coincidence;12:59:43.873:138:880:;
Coincidence;12:59:43.897:396:352:;
Coincidence;12:59:43.907:026:240:;
Coincidence;12:59:44.021:060:340:;
Coincidence;12:59:44.034:163:960:;
Coincidence;12:59:44.080:496:816:;
Coincidence;12:59:44.126:357:184:;
Coincidence;12:59:44.144:956:528:;
Coincidence;12:59:44.214:204:640:;
Coincidence;12:59:44.238:121:040:;
Coincidence;12:59:44.425:443:040:;
Coincidence;12:59:44.470:081:824:;
Coincidence;12:59:44.542:931:648:;
Coincidence;12:59:44.623:630:656:;
Coincidence;12:59:44.648:362:176:;
Coincidence;12:59:44.652:602:496:;
Coincidence;12:59:44.675:383:104:;
Coincidence;12:59:44.780:609:792:;
Coincidence;12:59:44.830:289:152:;
Coincidence;12:59:44.868:324:928:;
Coincidence;12:59:44.901:367:296:;
Coincidence;12:59:44.912:799:680:;
Coincidence;12:59:44.942:075:136:;
Coincidence;12:59:44.979:392:192:;
Coincidence;12:59:45.058:395:268:;
Coincidence;12:59:45.175:358:240:;
Coincidence;12:59:45.234:446:672:;
Coincidence;12:59:45.299:926:880:;
Coincidence;12:59:45.378:754:880:;
Coincidence;12:59:45.389:944:032:;
Coincidence;12:59:45.419:943:424:;
Coincidence;12:59:45.455:248:864:;
Coincidence;12:59:45.501:382:368:;
Coincidence;12:59:45.579:011:456:;
Coincidence;12:59:45.627:423:168:;
Coincidence;12:59:45.648:616:768:;
Coincidence;12:59:45.688:070:144:;
Coincidence;12:59:45.781:959:488:;
Coincidence;12:59:45.829:506:176:;
Coincidence;12:59:45.868:884:544:;
