Waiting for GPS Fix
GPS Fix obtained at;13:29:08.000:000:000:;Date:11/2/2022
Coincidence;13:29:09.113:816:976:;
Coincidence;13:29:09.298:723:744:;
Coincidence;13:29:09.383:534:368:;
Coincidence;13:29:09.487:832:864:;
Coincidence;13:29:09.683:681:344:;
Coincidence;13:29:09.744:893:312:;
Coincidence;13:29:09.750:891:200:;
Coincidence;13:29:09.769:733:312:;
Coincidence;13:29:09.801:153:344:;
Coincidence;13:29:09.943:024:704:;
Coincidence;13:29:10.288:047:488:;
Coincidence;13:29:10.328:258:656:;
Coincidence;13:29:10.850:381:696:;
Coincidence;13:29:11.337:936:384:;
Coincidence;13:29:11.346:470:592:;
Coincidence;13:29:11.451:734:112:;
Coincidence;13:29:11.560:965:632:;
Coincidence;13:29:11.567:572:480:;
Coincidence;13:29:11.652:348:224:;
Coincidence;13:29:11.742:789:952:;
Coincidence;13:29:11.903:714:432:;
Coincidence;13:29:13.493:393:824:;
Coincidence;13:29:13.635:202:112:;
Coincidence;13:29:13.896:182:400:;
Coincidence;13:29:13.898:296:256:;
Coincidence;13:29:14.380:583:264:;
Coincidence;13:29:14.588:681:664:;
Coincidence;13:29:14.694:158:592:;
Coincidence;13:29:15.274:125:888:;
Coincidence;13:29:15.301:918:848:;
Coincidence;13:29:15.343:532:064:;
Coincidence;13:29:15.389:723:232:;
Coincidence;13:29:15.809:364:544:;
Coincidence;13:29:16.234:575:184:;
Coincidence;13:29:16.280:546:880:;
Coincidence;13:29:16.336:609:312:;
Coincidence;13:29:16.455:730:624:;
Coincidence;13:29:17.923:996:736:;
Coincidence;13:29:18.062:339:840:;
Coincidence;13:29:18.076:358:592:;
Coincidence;13:29:18.408:893:248:;
Coincidence;13:29:18.416:177:280:;
Coincidence;13:29:18.862:448:256:;
Coincidence;13:29:18.885:066:048:;
Coincidence;13:29:19.189:743:504:;
Coincidence;13:29:19.445:348:384:;
Coincidence;13:29:19.903:254:016:;
Coincidence;13:29:20.212:275:312:;
Coincidence;13:29:20.234:175:744:;
Coincidence;13:29:20.411:086:496:;
Coincidence;13:29:20.643:525:376:;
Coincidence;13:29:21.119:404:072:;
Coincidence;13:29:21.438:517:632:;
Coincidence;13:29:21.474:663:936:;
Coincidence;13:29:21.519:950:848:;
Coincidence;13:29:21.676:446:784:;
Coincidence;13:29:21.789:676:160:;
Coincidence;13:29:22.392:350:272:;
Coincidence;13:29:22.727:162:304:;
Coincidence;13:29:22.776:141:248:;
Coincidence;13:29:22.793:499:072:;
Coincidence;13:29:23.116:429:992:;
Coincidence;13:29:23.221:966:944:;
Coincidence;13:29:23.994:514:560:;
Coincidence;13:29:24.114:247:176:;
Coincidence;13:29:24.233:888:832:;
Coincidence;13:29:24.311:100:288:;
Coincidence;13:29:24.815:664:768:;
Coincidence;13:29:24.918:832:192:;
Coincidence;13:29:25.007:385:680:;
Coincidence;13:29:25.015:951:626:;
Coincidence;13:29:25.070:942:104:;
Coincidence;13:29:25.101:101:400:;
