Waiting for GPS Fix
GPS Fix obtained at;16:05:40.000:000:000:;Date:25/1/2022;
Lifetime;16:05:41.543:843:648:;0044466;
Lifetime;16:05:46.913:001:152:;0014814;
Lifetime;16:05:49.628:524:352:;0004046;
Lifetime;16:05:55.725:893:824:;0034233;
Lifetime;16:05:59.152:453:696:;0028571;
Lifetime;16:06:08.476:491:552:;0023776;
Lifetime;16:06:10.961:404:416:;0016620;
Lifetime;16:06:24.461:495:136:;0027699;
Lifetime;16:06:28.835:508:160:;0012633;
Lifetime;16:06:32.983:042:496:;0003983;
Lifetime;16:06:33.044:386:020:;0032122;
Lifetime;16:06:34.593:490:496:;0007969;
Lifetime;16:06:45.592:171:584:;0047249;
Lifetime;16:06:45.786:890:944:;0047249;
Lifetime;16:07:00.053:819:996:;0023774;
Lifetime;16:07:04.700:008:128:;0008216;
Lifetime;16:07:06.335:354:688:;0046253;
Lifetime;16:07:09.303:339:872:;0034981;
Lifetime;16:07:14.881:598:464:;0029383;
Lifetime;16:07:15.585:237:952:;0008218;
Lifetime;16:07:16.423:894:656:;0005478;
Lifetime;16:07:17.547:216:064:;0029135;
Lifetime;16:07:18.335:305:792:;0030068;
Lifetime;16:07:21.643:832:128:;0048628;
Lifetime;16:07:21.863:450:880:;0045079;
Lifetime;16:07:31.697:904:192:;0045928;
Lifetime;16:07:32.095:685:720:;0048241;
Lifetime;16:07:35.572:351:680:;0026393;
Lifetime;16:07:36.396:648:480:;0047247;
Lifetime;16:07:36.442:442:336:;0047620;
Lifetime;16:07:38.180:604:032:;0011145;
Lifetime;16:07:42.173:535:872:;0005914;
Lifetime;16:07:42.448:620:832:;0003299;
Lifetime;16:07:48.439:188:416:;0023910;
Lifetime;16:07:54.240:867:568:;0008841;
Lifetime;16:07:56.199:167:536:;0014133;
Lifetime;16:07:59.910:945:216:;0035854;
Lifetime;16:08:11.146:550:000:;0001929;
Lifetime;16:08:13.057:055:496:;0010455;
Lifetime;16:08:13.398:524:256:;0000124;
Lifetime;16:08:13.503:925:376:;0038026;
Lifetime;16:08:19.007:234:996:;0012824;
Lifetime;16:08:27.395:017:952:;0014445;
Lifetime;16:08:50.751:217:664:;0019053;
Lifetime;16:08:58.178:581:632:;0006350;
Lifetime;16:08:58.346:087:360:;0011580;
Lifetime;16:09:01.536:066:496:;0032188;
Lifetime;16:09:06.530:976:000:;0033618;
Lifetime;16:09:23.448:625:600:;0010646;
Lifetime;16:09:30.123:233:984:;0016250;
Lifetime;16:09:30.973:366:272:;0009463;
Lifetime;16:09:40.107:366:080:;0033917;
Lifetime;16:09:41.551:019:200:;0038780;
Lifetime;16:09:45.023:827:862:;0046632;
Lifetime;16:09:45.489:330:464:;0009525;
Lifetime;16:09:51.096:121:120:;0003486;
Lifetime;16:09:56.964:099:392:;0019487;
Lifetime;16:10:00.399:181:664:;0036792;
Lifetime;16:10:01.881:579:520:;0043335;
Lifetime;16:10:03.626:492:992:;0049749;
Lifetime;16:10:07.662:519:808:;0033670;
Lifetime;16:10:07.860:378:496:;0047176;
Lifetime;16:10:08.168:404:320:;0002925;
Lifetime;16:10:10.288:348:192:;0009837;
Lifetime;16:10:12.366:811:264:;0020048;
Lifetime;16:10:15.921:680:000:;0028520;
Lifetime;16:10:17.767:223:040:;0022851;
Lifetime;16:10:18.855:076:224:;0036739;
Lifetime;16:10:23.049:808:748:;0047063;
Lifetime;16:10:28.426:269:088:;0042388;
Lifetime;16:10:36.024:716:358:;0031007;
Lifetime;16:10:39.040:160:904:;0037418;
Lifetime;16:10:39.435:665:504:;0032624;
Lifetime;16:10:40.025:843:388:;0025652;
Lifetime;16:10:40.491:892:448:;0036299;
Lifetime;16:10:54.532:194:880:;0044453;
Lifetime;16:10:55.111:312:040:;0048879;
Lifetime;16:10:58.900:108:160:;0010711;
Lifetime;16:11:01.297:513:632:;0034365;
Lifetime;16:11:05.544:014:848:;0041337;
Lifetime;16:11:09.308:018:016:;0043957;
Lifetime;16:11:15.109:578:088:;0022968;
Lifetime;16:11:20.159:014:880:;0022787;
Lifetime;16:11:20.916:790:336:;0022849;
Lifetime;16:11:22.556:613:248:;0016433;
Lifetime;16:11:28.443:405:920:;0013070;
Lifetime;16:11:28.570:564:800:;0005850;
Lifetime;16:11:31.891:765:632:;0010708;
Lifetime;16:11:35.285:991:104:;0028019;
Lifetime;16:11:36.429:633:856:;0008529;
Lifetime;16:11:43.533:208:928:;0006162;
Lifetime;16:11:55.005:892:800:;0021294;
Lifetime;16:11:55.581:103:936:;0036175;
Lifetime;16:11:57.068:824:112:;0006411;
Lifetime;16:12:14.777:952:640:;0017559;
Lifetime;16:12:16.976:479:232:;0018617;
Lifetime;16:12:31.042:392:488:;0008094;
Lifetime;16:12:33.427:492:256:;0035175;
Stopping logging session;16:12:33.359:938:080:;Date:25/1/20
