Waiting for GPS Fix
GPS Fix obtained at;13:59:12.000:000:000:;Date:9/12/2021
Lifetime;373481;13:59:14.360:033:696:;
Lifetime;147147;13:59:16.277:692:416:;
Lifetime;018182;13:59:19.832:508:992:;
Lifetime;314918;13:59:22.938:634:624:;
Lifetime;106605;13:59:27.351:503:584:;
Lifetime;018119;13:59:31.567:664:000:;
Lifetime;018054;13:59:32.935:120:064:;
Lifetime;235281;13:59:38.663:722:944:;
Lifetime;018060;13:59:38.843:733:056:;
Lifetime;018183;13:59:42.269:560:704:;
Lifetime;039914;13:59:43.619:980:160:;
Lifetime;018056;13:59:44.472:221:632:;
Lifetime;018246;13:59:51.780:245:056:;
Lifetime;018124;13:59:56.722:754:944:;
Lifetime;021860;14:00:00.595:262:592:;
Lifetime;018061;14:00:00.772:153:152:;
Lifetime;018123;14:00:03.078:006:368:;
Lifetime;284347;14:00:04.208:000:416:;
Lifetime;085646;14:00:04.313:526:400:;
Lifetime;318467;14:00:09.238:515:168:;
Lifetime;368691;14:00:10.326:740:608:;
Lifetime;018055;14:00:11.027:271:660:;
Lifetime;017992;14:00:21.714:253:376:;
Lifetime;018062;14:00:25.014:475:937:;
Lifetime;018242;14:00:32.955:931:584:;
Lifetime;283303;14:00:35.045:154:244:;
Lifetime;035849;14:00:38.885:271:296:;
Lifetime;300692;14:00:41.097:381:424:;
Lifetime;018120;14:00:41.779:868:288:;
Lifetime;018063;14:00:44.679:826:816:;
Lifetime;018060;14:00:50.133:919:392:;
Lifetime;018060;14:00:53.709:834:176:;
Lifetime;096407;14:00:54.378:139:712:;
Lifetime;187278;14:00:56.095:026:272:;
Lifetime;018124;14:01:01.442:913:472:;
Lifetime;018127;14:01:02.381:747:264:;
Lifetime;019934;14:01:04.907:228:224:;
Lifetime;018065;14:01:05.655:871:040:;
Lifetime;018062;14:01:07.717:544:192:;
Lifetime;286456;14:01:08.847:780:096:;
Lifetime;151063;14:01:10.333:261:472:;
Lifetime;018063;14:01:11.764:723:712:;
Lifetime;018062;14:01:25.191:941:408:;
Lifetime;018058;14:01:31.801:160:320:;
Lifetime;018059;14:01:34.088:818:320:;
Lifetime;018184;14:01:35.941:004:544:;
Lifetime;018061;14:01:38.931:441:600:;
Lifetime;018063;14:01:41.544:953:536:;
Lifetime;017991;14:01:42.205:339:808:;
Lifetime;018066;14:01:44.927:421:248:;
Lifetime;018066;14:01:46.537:220:608:;
Lifetime;018129;14:01:46.699:470:400:;
Lifetime;368141;14:01:48.708:168:704:;
Lifetime;275100;14:01:49.926:523:840:;
Lifetime;017988;14:01:53.062:279:804:;
Lifetime;126725;14:01:53.430:256:832:;
Lifetime;017988;14:01:53.845:363:584:;
Lifetime;302389;14:01:55.435:895:776:;
Lifetime;018061;14:01:59.421:146:528:;
Lifetime;021986;14:02:00.701:166:848:;
Lifetime;018063;14:02:01.224:519:328:;
Lifetime;360799;14:02:03.690:749:632:;
Lifetime;284447;14:02:07.062:845:848:;
Lifetime;018065;14:02:10.001:319:315:;
Lifetime;018066;14:02:12.790:816:768:;
Lifetime;021919;14:02:20.789:358:656:;
Lifetime;018057;14:02:21.706:753:472:;
Lifetime;018061;14:02:23.126:978:584:;
Lifetime;018061;14:02:28.938:806:144:;
Lifetime;378220;14:02:33.692:741:568:;
Lifetime;018119;14:02:36.008:198:890:;
Lifetime;018057;14:02:36.817:881:088:;
Lifetime;364202;14:02:36.974:123:072:;
Lifetime;018059;14:02:39.417:597:408:;
Lifetime;114399;14:02:42.186:497:136:;
Lifetime;072686;14:02:44.258:512:320:;
Lifetime;018062;14:02:50.157:250:640:;
Lifetime;018064;14:02:53.106:410:688:;
Lifetime;184068;14:02:53.261:069:136:;
Lifetime;210073;14:02:55.925:709:248:;
Lifetime;116853;14:02:58.624:468:992:;
Lifetime;018064;14:02:59.183:717:088:;
Lifetime;018058;14:03:05.651:635:776:;
Lifetime;018059;14:03:07.365:892:832:;
Lifetime;018123;14:03:10.554:387:904:;
Lifetime;231801;14:03:10.927:291:008:;
Lifetime;066853;14:03:12.886:456:064:;
Lifetime;174083;14:03:14.741:557:696:;
Lifetime;145431;14:03:15.077:384:920:;
Lifetime;018062;14:03:17.980:944:768:;
Lifetime;018184;14:03:21.141:251:968:;
Lifetime;018184;14:03:21.782:990:848:;
Lifetime;392516;14:03:22.073:725:040:;
Lifetime;277707;14:03:25.410:645:312:;
Lifetime;018058;14:03:28.426:116:736:;
